ImageId,EncodedPixels
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,57098 2 57350 8 57604 10 57859 11 58114 13 58369 15 58625 15 58881 15 59137 15 59393 15 59649 14 59905 13 60161 9 60417 8 60674 6 60931 4
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,33039 4 33294 8 33550 9 33806 10 34061 11 34317 11 34574 10 34830 9 35087 5 35344 2
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,25656 3 25910 8 26166 8 26421 11 26677 11 26933 11 27189 11 27445 11 27701 11 27958 10 28214 9 28472 6 28730 2
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,29036 8 29291 11 29546 14 29802 15 30058 16 30314 16 30570 16 30827 15 31083 16 31340 14 31598 12 31855 10 32115 2
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,62063 8 62317 13 62572 15 62827 17 63083 17 63338 18 63594 18 63851 16 64107 15 64365 11 64624 6
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,18298 10 18554 12 18808 16 19062 18 19320 17 19576 18 19832 18 20088 18 20345 16 20601 16 20858 13 21115 11
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,51836 7 52090 10 52344 13 52599 15 52854 16 53110 16 53366 16 53622 16 53878 16 54135 13 54392 12 54649 9 54908 3
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,42370 11 42625 15 42880 18 43135 20 43390 23 43646 23 43902 24 44158 24 44415 23 44672 22 44929 21 45186 19 45443 15 45701 12 45960 4
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,4522 8 4776 11 5031 14 5286 16 5542 17 5798 18 6054 19 6310 20 6566 20 6822 21 7079 21 7335 21 7592 19 7849 18 8106 17 8362 17 8620 16 8877 15 9138 9 9398 4
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,5060 1 5315 3 5571 5 5828 4 6084 4 6340 4 6597 3 6853 2 7108 3 7364 2
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,64467 7 64721 12 64976 15 65232 16 65488 15
