ImageId,EncodedPixels
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,57099 2 57349 9 57604 11 57859 12 58114 13 58369 15 58625 15 58881 15 59137 15 59393 15 59649 14 59905 12 60161 10 60418 7 60674 6 60932 3
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,33039 4 33294 8 33550 9 33805 11 34061 11 34317 11 34573 11 34830 9 35087 6
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,25656 3 25910 7 26165 9 26421 10 26677 11 26933 11 27189 11 27445 11 27701 11 27957 10 28215 8 28472 5
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,29037 7 29291 11 29546 14 29802 15 30058 16 30314 16 30571 15 30827 15 31083 15 31340 14 31597 13 31855 9 32116 1
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,62063 8 62317 13 62572 15 62827 16 63083 17 63339 17 63595 17 63851 16 64108 14 64365 11
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,51836 6 52090 10 52344 13 52599 14 52855 15 53110 16 53366 16 53622 15 53878 15 54135 13 54392 11 54649 8
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,18299 7 18554 11 18809 14 19064 16 19320 17 19576 17 19832 17 20088 17 20345 16 20601 15 20858 13 21116 9
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,42371 9 42625 14 42880 18 43135 20 43391 21 43647 22 43903 23 44159 23 44415 23 44672 22 44929 21 45186 19 45443 16 45701 10 45962 2
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,4522 8 4776 11 5031 14 5286 16 5542 17 5797 19 6053 20 6309 21 6566 20 6822 21 7078 22 7335 21 7592 19 7849 18 8105 18 8363 16 8620 15 8877 14 9136 11 9397 5
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,64722 9 64976 14 65232 15 65488 16
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,205313 8 205825 11 206337 11 206849 12 207361 14 207873 16 208385 16 208897 17 209409 18 209445 7 209921 20 209956 12 210433 20 210468 12 210945 21 210980 13 211457 22 211492 15 211969 23 212004 17 212481 23 212516 17 212993 24 213028 20 213505 25 213539 23 214017 25 214051 24 214529 25 214563 24 215041 26 215075 25 215553 26 215586 27 216065 27 216098 28 216577 27 216610 28 217089 28 217121 30 217601 27 217633 30 218113 29 218145 31 218625 29 218657 31 219137 29 219170 30 219649 31 219683 29 220161 31 220195 30 220673 31 220707 30 221185 32 221220 29 221697 32 221732 29 222209 64 222721 64 223233 64 223745 42 223788 20 224257 41 224300 21 224769 41 224812 21 225281 64 225793 64 226305 64 226817 64 227329 64 227841 64 228353 63 228865 63 229377 63 229889 63 230401 63 230913 63 231425 63 231937 63 232449 62 232961 62 233473 62 233985 61 234497 60 235009 60 235521 59 236033 27 236063 28 236545 24 236578 24 237057 24 237090 24 237569 21 237604 21 238081 18 238116 20 238593 13 238629 18 239105 8 239143 16 239617 7 239655 15 240129 5 240170 9 240641 4 240684 5 241153 4 241665 4 242177 4 242690 3 243201 4 243713 4 244225 3 244737 3 245250 2 245762 2 246273 1
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,318499 1 319006 12 319512 19 320024 19 320534 21 321045 23 321556 24 322068 24 322579 26 323090 27 323601 28 324113 28 324624 30 325135 30 325645 32 326157 32 326668 33 327179 33 327690 34 328201 34 328713 34 329225 33 329736 33 330248 31 330760 31 331272 29 331784 27 332295 26 332807 26 333319 25 333830 25 334342 25 334854 25 335365 25 335877 25 336388 26 336900 26 337412 26 337924 26 338435 27 338947 27 339459 27 339971 10 339983 16 340484 9 340498 13 340996 9 341010 13 341508 9 341520 15 342020 28 342532 28 343044 28 343556 28 344068 27 344581 25 345093 25 345606 23 346118 22 346631 20 347143 20 347657 15
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,11 23 523 23 1035 23 1547 23 2059 22 2571 22 3083 22 3595 22 4107 22 4619 22 5131 22 5643 22 6154 23 6666 23 7178 23 7690 23 8202 23 8714 23 9226 23 9737 24 10249 24 10761 24 11273 24 11785 24 12297 24 12808 25 13320 25 13833 25 14345 24 14857 24 15369 24 15881 24 16393 24 16905 16 16923 5 17417 16 17435 5 17928 17 17948 4 18440 17 18460 4 18952 24 19464 24 19976 24 20488 24 21000 23 21512 23 22024 21 22537 20 23049 19 23562 17 24074 17 24586 17 25099 15 25614 7 25622 3 26126 7 26134 3 26640 2
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,257067 6 257567 3 257571 3 257575 12 258079 3 258083 3 258087 12 258589 23 259098 27 259608 30 260120 30 260631 31 261142 33 261653 35 262165 35 262677 36 263188 38 263700 9 263713 26 264212 9 264225 26 264723 9 264738 25 265235 8 265250 25 265747 8 265761 27 266259 8 266273 27 266770 9 266783 29 267282 9 267295 29 267794 10 267806 30 268306 10 268318 30 268818 42 269330 42 269843 41 270355 41 270867 41 271379 41 271892 39 272404 39 272916 39 273429 37 273941 36 274453 36 274965 34 275478 33 275990 32 276502 32 277014 31 277528 27 278041 24 278553 24 279066 21 279580 16 280094 11 280606 11 281121 3
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,298046 6 298556 11 299067 14 299579 14 300091 15 300602 16 301111 20 301623 20 302132 23 302643 25 303154 26 303666 26 304176 29 304685 32 305194 36 305706 36 306218 35 306730 35 307242 34 307754 34 308265 35 308777 34 309285 37 309797 37 310306 39 310816 39 311328 9 311338 27 311840 9 311850 27 312352 8 312364 23 312865 6 312876 20 313378 4 313389 17 313890 4 313901 17 314414 13
